"year","Lakes","height"
1918,"Erie",174.015
1918,"michHuron",176.886666666667
1918,"Ontario",74.8725
1918,"StClair",174.956666666667
1919,"Erie",174.180833333333
1919,"michHuron",176.745
1919,"Ontario",74.9558333333333
1919,"StClair",175.076666666667
1920,"Erie",173.908333333333
1920,"michHuron",176.625
1920,"Ontario",74.5675
1920,"StClair",174.815
1921,"Erie",174.025833333333
1921,"michHuron",176.488333333333
1921,"Ontario",74.6658333333333
1921,"StClair",174.869166666667
1922,"Erie",173.9275
1922,"michHuron",176.445
1922,"Ontario",74.6566666666667
1922,"StClair",174.810833333333
1923,"Erie",173.7575
1923,"michHuron",176.264166666667
1923,"Ontario",74.4433333333333
1923,"StClair",174.6525
1924,"Erie",173.843333333333
1924,"michHuron",176.186666666667
1924,"Ontario",74.5575
1924,"StClair",174.6375
1925,"Erie",173.593333333333
1925,"michHuron",175.919166666667
1925,"Ontario",74.39
1925,"StClair",174.405833333333
1926,"Erie",173.640833333333
1926,"michHuron",175.885
1926,"Ontario",74.4025
1926,"StClair",174.401666666667
1927,"Erie",173.818333333333
1927,"michHuron",176.148333333333
1927,"Ontario",74.6066666666667
1927,"StClair",174.598333333333
1928,"Erie",173.951666666667
1928,"michHuron",176.443333333333
1928,"Ontario",74.8008333333333
1928,"StClair",174.805
1929,"Erie",174.311666666667
1929,"michHuron",176.895833333333
1929,"Ontario",75.085
1929,"StClair",175.264166666667
1930,"Erie",174.27
1930,"michHuron",176.650833333333
1930,"Ontario",75.0808333333333
1930,"StClair",175.095
1931,"Erie",173.705
1931,"michHuron",176.118333333333
1931,"Ontario",74.3575
1931,"StClair",174.508333333333
1932,"Erie",173.735833333333
1932,"michHuron",175.940833333333
1932,"Ontario",74.5025
1932,"StClair",174.565833333333
1933,"Erie",173.676666666667
1933,"michHuron",175.8675
1933,"Ontario",74.2758333333333
1933,"StClair",174.546666666667
1934,"Erie",173.331666666667
1934,"michHuron",175.766666666667
1934,"Ontario",74.0216666666667
1934,"StClair",174.274166666667
1935,"Erie",173.410833333333
1935,"michHuron",175.890833333333
1935,"Ontario",74.0041666666667
1935,"StClair",174.360833333333
1936,"Erie",173.488333333333
1936,"michHuron",175.939166666667
1936,"Ontario",74.1641666666667
1936,"StClair",174.393333333333
1937,"Erie",173.82
1937,"michHuron",175.9225
1937,"Ontario",74.4958333333333
1937,"StClair",174.603333333333
1938,"Erie",173.840833333333
1938,"michHuron",176.140833333333
1938,"Ontario",74.5225
1938,"StClair",174.689166666667
1939,"Erie",173.845833333333
1939,"michHuron",176.269166666667
1939,"Ontario",74.4925
1939,"StClair",174.720833333333
1940,"Erie",173.795
1940,"michHuron",176.141666666667
1940,"Ontario",74.4258333333333
1940,"StClair",174.645
1941,"Erie",173.7
1941,"michHuron",176.121666666667
1941,"Ontario",74.4075
1941,"StClair",174.581666666667
1942,"Erie",173.876666666667
1942,"michHuron",176.334166666667
1942,"Ontario",74.5166666666667
1942,"StClair",174.7675
1943,"Erie",174.231666666667
1943,"michHuron",176.626666666667
1943,"Ontario",75.1341666666667
1943,"StClair",175.1125
1944,"Erie",174.091666666667
1944,"michHuron",176.596666666667
1944,"Ontario",74.8458333333333
1944,"StClair",174.981666666667
1945,"Erie",174.188333333333
1945,"michHuron",176.57
1945,"Ontario",75.06
1945,"StClair",175.089166666667
1946,"Erie",174.135833333333
1946,"michHuron",176.601666666667
1946,"Ontario",74.9933333333333
1946,"StClair",175.038333333333
1947,"Erie",174.235
1947,"michHuron",176.566666666667
1947,"Ontario",75.1691666666667
1947,"StClair",175.104166666667
1948,"Erie",174.220833333333
1948,"michHuron",176.530833333333
1948,"Ontario",75.0808333333333
1948,"StClair",175.0975
1949,"Erie",173.973333333333
1949,"michHuron",176.210833333333
1949,"Ontario",74.7408333333333
1949,"StClair",174.831666666667
1950,"Erie",174.135
1950,"michHuron",176.260833333333
1950,"Ontario",74.8916666666667
1950,"StClair",174.93
1951,"Erie",174.324166666667
1951,"michHuron",176.735833333333
1951,"Ontario",75.2466666666667
1951,"StClair",175.240833333333
1952,"Erie",174.52
1952,"michHuron",177.085
1952,"Ontario",75.3658333333333
1952,"StClair",175.499166666667
1953,"Erie",174.330833333333
1953,"michHuron",176.933333333333
1953,"Ontario",75.015
1953,"StClair",175.323333333333
1954,"Erie",174.288333333333
1954,"michHuron",176.829166666667
1954,"Ontario",74.9816666666667
1954,"StClair",175.235
1955,"Erie",174.348333333333
1955,"michHuron",176.7225
1955,"Ontario",75.1458333333333
1955,"StClair",175.251666666667
1956,"Erie",174.12
1956,"michHuron",176.44
1956,"Ontario",74.9216666666667
1956,"StClair",174.939166666667
1957,"Erie",174.036666666667
1957,"michHuron",176.263333333333
1957,"Ontario",74.6333333333333
1957,"StClair",174.88
1958,"Erie",173.808333333333
1958,"michHuron",176.0675
1958,"Ontario",74.4283333333333
1958,"StClair",174.629166666667
1959,"Erie",173.85
1959,"michHuron",176.005833333333
1959,"Ontario",74.475
1959,"StClair",174.656666666667
1960,"Erie",174.094166666667
1960,"michHuron",176.4775
1960,"Ontario",74.7125
1960,"StClair",174.99
1961,"Erie",174.100833333333
1961,"michHuron",176.376666666667
1961,"Ontario",74.6133333333333
1961,"StClair",174.963333333333
1962,"Erie",173.9075
1962,"michHuron",176.2225
1962,"Ontario",74.6416666666667
