"INDEX","TICKS","BROOD","HEIGHT","YEAR","LOCATION","cHEIGHT","ij","ijk"
"1",0,"501",465,"95","32",2.75930521091811,1,1
"2",0,"501",465,"95","32",2.75930521091811,1,2
"3",0,"502",472,"95","36",9.75930521091811,2,3
"4",0,"503",475,"95","37",12.7593052109181,3,4
"5",0,"503",475,"95","37",12.7593052109181,3,5
"6",3,"503",475,"95","37",12.7593052109181,3,6
"7",2,"503",475,"95","37",12.7593052109181,3,7
"8",0,"504",488,"95","44",25.7593052109181,4,8
"9",0,"504",488,"95","44",25.7593052109181,4,9
"10",2,"504",488,"95","44",25.7593052109181,4,10
"11",0,"505",492,"95","47",29.7593052109181,5,11
"12",0,"505",492,"95","47",29.7593052109181,5,12
"13",0,"505",492,"95","47",29.7593052109181,5,13
"14",0,"506",490,"95","45",27.7593052109181,6,14
"15",0,"506",490,"95","45",27.7593052109181,6,15
"16",0,"506",490,"95","45",27.7593052109181,6,16
"17",0,"507",464,"95","31",1.75930521091811,7,17
"18",0,"507",464,"95","31",1.75930521091811,7,18
"19",0,"507",464,"95","31",1.75930521091811,7,19
"20",1,"507",464,"95","31",1.75930521091811,7,20
"21",2,"507",464,"95","31",1.75930521091811,7,21
"22",1,"509",457,"95","28",-5.24069478908189,8,22
"23",0,"510",457,"95","28",-5.24069478908189,9,23
"24",0,"511",457,"95","28",-5.24069478908189,10,24
"25",5,"511",457,"95","28",-5.24069478908189,10,25
"26",8,"512",451,"95","26",-11.2406947890819,11,26
"27",3,"512",451,"95","26",-11.2406947890819,11,27
"28",4,"512",451,"95","26",-11.2406947890819,11,28
"29",7,"513",437,"95","17",-25.2406947890819,12,29
"30",0,"513",437,"95","17",-25.2406947890819,12,30
"31",4,"513",437,"95","17",-25.2406947890819,12,31
"32",4,"514",430,"95","14",-32.2406947890819,13,32
"33",1,"514",430,"95","14",-32.2406947890819,13,33
"34",0,"514",430,"95","14",-32.2406947890819,13,34
"35",0,"514",430,"95","14",-32.2406947890819,13,35
"36",3,"514",430,"95","14",-32.2406947890819,13,36
"37",1,"514",430,"95","14",-32.2406947890819,13,37
"38",6,"515",427,"95","13",-35.2406947890819,14,38
"39",0,"515",427,"95","13",-35.2406947890819,14,39
"40",1,"515",427,"95","13",-35.2406947890819,14,40
"41",0,"515",427,"95","13",-35.2406947890819,14,41
"42",2,"516",419,"95","7",-43.2406947890819,15,42
"43",7,"516",419,"95","7",-43.2406947890819,15,43
"44",31,"516",419,"95","7",-43.2406947890819,15,44
"45",34,"517",411,"95","4",-51.2406947890819,16,45
"46",17,"517",411,"95","4",-51.2406947890819,16,46
"47",16,"517",411,"95","4",-51.2406947890819,16,47
"48",66,"518",419,"95","7",-43.2406947890819,17,48
"49",49,"518",419,"95","7",-43.2406947890819,17,49
"50",82,"518",419,"95","7",-43.2406947890819,17,50
"51",85,"518",419,"95","7",-43.2406947890819,17,51
"52",64,"518",419,"95","7",-43.2406947890819,17,52
"53",11,"519",424,"95","11",-38.2406947890819,18,53
"54",14,"519",424,"95","11",-38.2406947890819,18,54
"55",4,"519",424,"95","11",-38.2406947890819,18,55
"56",10,"519",424,"95","11",-38.2406947890819,18,56
"57",3,"520",427,"95","13",-35.2406947890819,19,57
"58",15,"520",427,"95","13",-35.2406947890819,19,58
"59",8,"520",427,"95","13",-35.2406947890819,19,59
"60",9,"521",422,"95","9",-40.2406947890819,20,60
"61",11,"521",422,"95","9",-40.2406947890819,20,61
"62",7,"521",422,"95","9",-40.2406947890819,20,62
"63",13,"521",422,"95","9",-40.2406947890819,20,63
"64",3,"522",503,"95","53",40.7593052109181,21,64
"65",0,"523",496,"95","51",33.7593052109181,22,65
"66",0,"523",496,"95","51",33.7593052109181,22,66
"67",1,"523",496,"95","51",33.7593052109181,22,67
"68",1,"523",496,"95","51",33.7593052109181,22,68
"69",0,"525",507,"95","54",44.7593052109181,23,69
"70",0,"525",507,"95","54",44.7593052109181,23,70
"71",0,"525",507,"95","54",44.7593052109181,23,71
"72",0,"525",507,"95","54",44.7593052109181,23,72
"73",0,"526",496,"95","51",33.7593052109181,24,73
"74",0,"526",496,"95","51",33.7593052109181,24,74
"75",0,"526",496,"95","51",33.7593052109181,24,75
"76",1,"526",496,"95","51",33.7593052109181,24,76
"77",1,"526",496,"95","51",33.7593052109181,24,77
