"Sepal.Length","Sepal.Width","Species"
6.3,3.3,"virginica"
5.8,2.7,"virginica"
7.1,3,"virginica"
6.3,2.9,"virginica"
6.5,3,"virginica"
7.6,3,"virginica"
4.9,2.5,"virginica"
7.3,2.9,"virginica"
6.7,2.5,"virginica"
7.2,3.6,"virginica"
6.5,3.2,"virginica"
6.4,2.7,"virginica"
6.8,3,"virginica"
5.7,2.5,"virginica"
5.8,2.8,"virginica"
6.4,3.2,"virginica"
6.5,3,"virginica"
7.7,3.8,"virginica"
7.7,2.6,"virginica"
6,2.2,"virginica"
6.9,3.2,"virginica"
5.6,2.8,"virginica"
7.7,2.8,"virginica"
6.3,2.7,"virginica"
6.7,3.3,"virginica"
7.2,3.2,"virginica"
6.2,2.8,"virginica"
6.1,3,"virginica"
6.4,2.8,"virginica"
7.2,3,"virginica"
7.4,2.8,"virginica"
7.9,3.8,"virginica"
6.4,2.8,"virginica"
6.3,2.8,"virginica"
6.1,2.6,"virginica"
7.7,3,"virginica"
6.3,3.4,"virginica"
6.4,3.1,"virginica"
6,3,"virginica"
6.9,3.1,"virginica"
6.7,3.1,"virginica"
6.9,3.1,"virginica"
5.8,2.7,"virginica"
6.8,3.2,"virginica"
6.7,3.3,"virginica"
6.7,3,"virginica"
6.3,2.5,"virginica"
6.5,3,"virginica"
6.2,3.4,"virginica"
5.9,3,"virginica"
