"","INDEX","TICKS","BROOD","HEIGHT","YEAR","LOCATION"
"1",1,0,501,465,95,32
"2",2,0,501,465,95,32
"3",3,0,502,472,95,36
"4",4,0,503,475,95,37
"5",5,0,503,475,95,37
"6",6,3,503,475,95,37
"7",7,2,503,475,95,37
"8",8,0,504,488,95,44
"9",9,0,504,488,95,44
"10",10,2,504,488,95,44
"11",11,0,505,492,95,47
"12",12,0,505,492,95,47
"13",13,0,505,492,95,47
"14",14,0,506,490,95,45
"15",15,0,506,490,95,45
"16",16,0,506,490,95,45
"17",17,0,507,464,95,31
"18",18,0,507,464,95,31
"19",19,0,507,464,95,31
"20",20,1,507,464,95,31
"21",21,2,507,464,95,31
"22",22,1,509,457,95,28
"23",23,0,510,457,95,28
"24",24,0,511,457,95,28
"25",25,5,511,457,95,28
"26",26,8,512,451,95,26
"27",27,3,512,451,95,26
"28",28,4,512,451,95,26
"29",29,7,513,437,95,17
"30",30,0,513,437,95,17
"31",31,4,513,437,95,17
"32",32,4,514,430,95,14
"33",33,1,514,430,95,14
"34",34,0,514,430,95,14
"35",35,0,514,430,95,14
"36",36,3,514,430,95,14
"37",37,1,514,430,95,14
"38",38,6,515,427,95,13
"39",39,0,515,427,95,13
"40",40,1,515,427,95,13
"41",41,0,515,427,95,13
"42",42,2,516,419,95,7
"43",43,7,516,419,95,7
"44",44,31,516,419,95,7
"45",45,34,517,411,95,4
"46",46,17,517,411,95,4
"47",47,16,517,411,95,4
"48",48,66,518,419,95,7
"49",49,49,518,419,95,7
"50",50,82,518,419,95,7
"51",51,85,518,419,95,7
"52",52,64,518,419,95,7
"53",53,11,519,424,95,11
"54",54,14,519,424,95,11
"55",55,4,519,424,95,11
"56",56,10,519,424,95,11
"57",57,3,520,427,95,13
"58",58,15,520,427,95,13
"59",59,8,520,427,95,13
"60",60,9,521,422,95,9
"61",61,11,521,422,95,9
"62",62,7,521,422,95,9
"63",63,13,521,422,95,9
"64",64,3,522,503,95,53
"65",65,0,523,496,95,51
"66",66,0,523,496,95,51
"67",67,1,523,496,95,51
"68",68,1,523,496,95,51
"69",69,0,525,507,95,54
"70",70,0,525,507,95,54
"71",71,0,525,507,95,54
"72",72,0,525,507,95,54
"73",73,0,526,496,95,51
"74",74,0,526,496,95,51
"75",75,0,526,496,95,51
"76",76,1,526,496,95,51
"77",77,1,526,496,95,51
"78",78,0,526,496,95,51
"79",79,2,528,466,95,33
"80",80,0,528,466,95,33
"81",81,3,528,466,95,33
"82",82,1,531,488,95,44
"83",83,7,533,442,95,19
"84",84,2,533,442,95,19
"85",85,16,533,442,95,19
"86",86,12,533,442,95,19
"87",87,0,533,442,95,19
"88",88,1,535,442,95,19
"89",89,0,537,533,95,63
"90",90,0,537,533,95,63
"91",91,1,537,533,95,63
"92",92,0,537,533,95,63
"93",93,0,537,533,95,63
"94",94,1,537,533,95,63
"95",95,0,537,533,95,63
"96",96,0,538,533,95,63
"97",97,0,539,515,95,59
"98",98,0,539,515,95,59
"99",99,0,539,515,95,59
"100",100,0,539,515,95,59
"101",101,5,540,518,95,60
"102",102,2,540,518,95,60
"103",103,2,542,493,95,48
"104",104,1,542,493,95,48
"105",105,1,542,493,95,48
"106",106,0,548,468,95,34
"107",107,0,548,468,95,34
"108",108,1,548,468,95,34
"109",109,1,549,476,95,38
"110",110,1,549,476,95,38
"111",111,0,549,476,95,38
"112",112,0,549,476,95,38
"113",113,5,550,446,95,22
"114",114,3,550,446,95,22
"115",115,2,553,460,95,30
"116",116,2,559,525,95,62
"117",117,1,559,525,95,62
"118",118,1,601,410,96,3
"119",119,0,601,410,96,3
"120",120,2,601,410,96,3
"121",121,5,601,410,96,3
"122",122,1,601,410,96,3
"123",123,2,601,410,96,3
"124",124,2,601,410,96,3
"125",125,3,602,417,96,6
"126",126,14,602,417,96,6
"127",127,11,602,417,96,6
"128",128,9,602,417,96,6
"129",129,4,602,417,96,6
"130",130,10,602,417,96,6
"131",131,33,602,417,96,6
"132",132,19,602,417,96,6
"133",133,16,602,417,96,6
"134",134,16,603,430,96,14
"135",135,13,603,430,96,14
"136",136,11,603,430,96,14
"137",137,7,603,430,96,14
"138",138,4,603,430,96,14
"139",139,11,603,430,96,14
"140",140,1,604,456,96,27
"141",141,1,604,456,96,27
"142",142,4,604,456,96,27
"143",143,6,605,457,96,28
"144",144,2,605,457,96,28
"145",145,7,605,457,96,28
"146",146,8,605,457,96,28
"147",147,14,605,457,96,28
"148",148,6,606,430,96,14
"149",149,13,606,430,96,14
"150",150,5,606,430,96,14
"151",151,8,606,430,96,14
"152",152,13,606,430,96,14
"153",153,17,606,430,96,14
"154",154,5,606,430,96,14
"155",155,1,606,430,96,14
"156",156,1,606,430,96,14
"157",157,2,606,430,96,14
"158",158,7,607,423,96,10
"159",159,7,608,421,96,8
"160",160,11,608,421,96,8
"161",161,1,609,525,96,62
"162",162,0,609,525,96,62
"163",163,5,610,509,96,55
"164",164,4,610,509,96,55
"165",165,0,611,499,96,52
"166",166,0,611,499,96,52
"167",167,0,611,499,96,52
"168",168,7,612,503,96,53
"169",169,5,612,503,96,53
"170",170,3,612,503,96,53
"171",171,1,612,503,96,53
"172",172,6,612,503,96,53
"173",173,1,614,492,96,47
"174",174,2,614,492,96,47
"175",175,14,615,491,96,46
"176",176,5,615,491,96,46
"177",177,27,615,491,96,46
"178",178,1,616,475,96,37
"179",179,2,616,475,96,37
"180",180,3,616,475,96,37
"181",181,0,616,475,96,37
"182",182,1,617,479,96,40
"183",183,0,617,479,96,40
"184",184,5,617,479,96,40
"185",185,5,617,479,96,40
"186",186,8,617,479,96,40
"187",187,21,617,479,96,40
"188",188,15,618,472,96,36
"189",189,15,618,472,96,36
"190",190,6,618,472,96,36
"191",191,19,618,472,96,36
"192",192,14,618,472,96,36
"193",193,1,621,485,96,42
"194",194,1,621,485,96,42
"195",195,3,621,485,96,42
"196",196,2,621,485,96,42
"197",197,3,621,485,96,42
"198",198,2,623,495,96,50
"199",199,5,623,495,96,50
"200",200,0,624,472,96,36
