"Library","UsedIn"
"dplyr","Areal_ex.qmd, Geostat_ex.qmd, GLM_scores_ex.qmd, GLMM_fit.qmd, LM_resids.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd, zero_inflated_ex.qmd"
"fmesher","Geostat_ex.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd"
"ggplot2","Ar1_ex.qmd, Ar1_Rw1_ex.qmd, Areal_ex.qmd, Geostat_ex.qmd, GLM_scores_ex.qmd, GLMM_fit.qmd, LM_resids.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd, Tokyo_rainfall_ex.qmd, zero_inflated_ex.qmd"
"INLA","Ar1_ex.qmd, Ar1_Rw1_ex.qmd, Areal_ex.qmd, Geostat_ex.qmd, GLM_scores_ex.qmd, GLMM_fit.qmd, LM_resids.qmd, LMM_ex.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd, Tokyo_rainfall_ex.qmd, zero_inflated_ex.qmd"
"inlabru","Ar1_ex.qmd, Ar1_Rw1_ex.qmd, Areal_ex.qmd, Geostat_ex.qmd, GLM_scores_ex.qmd, GLMM_fit.qmd, LM_resids.qmd, LMM_ex.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd, Tokyo_rainfall_ex.qmd, zero_inflated_ex.qmd"
"lubridate","PointProcess_ex.qmd"
"magrittr","zero_inflated_ex.qmd"
"mapview","Areal_ex.qmd, Geostat_ex.qmd, space_time_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd"
"patchwork","Ar1_ex.qmd, Ar1_Rw1_ex.qmd, Areal_ex.qmd, Geostat_ex.qmd, GLM_scores_ex.qmd, GLMM_fit.qmd, LM_resids.qmd, LMM_ex.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd, spatial_data_types_areal.qmd, zero_inflated_ex.qmd"
"scico","Areal_ex.qmd, Geostat_ex.qmd, LMM_ex.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd, zero_inflated_ex.qmd"
"sf","Geostat_ex.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd, zero_inflated_ex.qmd"
"spatstat","PointProcess_ex.qmd"
"spdep","Areal_ex.qmd"
"terra","Geostat_ex.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd, zero_inflated_ex.qmd"
"tidyr","LM_resids.qmd, Tokyo_rainfall_ex.qmd"
"tidyterra","Geostat_ex.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd, spatial_data_types_geostats.qmd, zero_inflated_ex.qmd"
"tidyverse","Ar1_ex.qmd, Ar1_Rw1_ex.qmd, LMM_ex.qmd, Multiple_likelihood.qmd"
"webexercises","Areal_ex.qmd, Geostat_ex.qmd, GLM_scores_ex.qmd, GLMM_fit.qmd, LM_resids.qmd, LMM_ex.qmd, Multiple_likelihood.qmd, PointProcess_ex.qmd, space_time_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd, zero_inflated_ex.qmd"
