Year,Month,Site,Type,Easting,Northing,PM10,PM10_modelled,Hurs,Psl,Rainfall,SfcWind,Sun,Tas,NDVI,UR,PopDen,nearest_road_distance
2016,1,Aberdeen Anderson Dr,Roadside,392504.39,804189.75,14.01290323,10.55266,83.43176565,1001.963221,180.1136866,6.324590906,42.64925117,4.115653503,0.40984304,Large Urban Areas,0.005123445,14.49298793
2016,1,Aberdeen Errol Place,Rest,394395.8,807391.98,15.42962963,10.31663,83.17164138,1001.960544,193.3505846,6.52517504,43.58768956,4.429327431,0.15211769,Large Urban Areas,0.006877316,76.62294631
2016,1,Aberdeen King Street,Roadside,394333,808770,19.31034483,10.17115,83.3526005,1001.956267,201.8079444,6.376854728,43.93963391,4.460723965,0.48812968,Large Urban Areas,0.003926085,9.599338545
2016,1,Aberdeen Market Street 2,Roadside,394551.62,805673.18,12.716,11.62385,83.34638163,1001.968257,169.9746538,6.547142909,43.64020562,4.443591439,0.174227,Large Urban Areas,0.003730111,7.363513475
2016,1,Aberdeen Union Street Roadside,Roadside,393655.92,805967.6,17.16842105,10.77242,83.29314753,1001.964863,179.3200234,6.3672019,43.15994789,4.279913537,0.22602874,Large Urban Areas,0.008052278,13.61053035
2016,1,Aberdeen Wellington Road,Roadside,394410.99,804813.2,17.58333333,10.55765,83.5146843,1001.96974,171.6219312,6.930142164,43.50166143,4.324854221,0.23063854,Large Urban Areas,0.004007295,9.754705711
2016,1,Alloa A907,Roadside,288689,693068,12.68064516,10.26566,89.00904306,1001.979484,187.3776162,4.68404036,14.6167974,4.251101116,0.44572512,Other Urban Areas,0.003703423,2.820852372
2016,1,Angus Forfar Glamis Road,Roadside,345249,750386,11.16129032,10.58091,88.73734777,1001.900572,259.2635637,4.68519202,26.70215291,3.256663344,0.3947022,Rural Areas,0.003187089,13.91187362
2016,1,Auchencorth Moss,Rest,322165.87,656128.11,5.857692308,7.887264,88.91339713,1002.090323,184.3722101,4.904249423,25.31406113,3.219438944,0.50836248,Rural Areas,1.31E-05,1330.025786
2016,1,Dundee Broughty Ferry Road,Industrial,341970.73,730976.51,12.275,9.713922,87.66227826,1001.945467,155.2495373,4.744007175,26.17767228,4.542697795,0.20891886,Rural Areas,0.003567147,11.47388376
2016,1,Dundee Lochee Road,Kerbside,338859.24,730774.79,20.12258065,9.910512,87.76547671,1001.938231,187.7542447,5.188191514,24.31400677,4.024776192,0.22149992,Rural Areas,0.006963361,3.659449659
2016,1,Dundee Mains Loan,Rest,340970.55,731892.31,10.39354839,10.19106,87.66178867,1001.940542,175.1016459,5.318781208,25.25200258,4.176233255,0.26281698,Rural Areas,0.006828352,215.8970495
2016,1,Dundee Meadowside,Roadside,340243.04,730658.37,15.17096774,10.57289,87.6705362,1001.942755,161.6788087,4.727798688,25.42843783,4.466938233,0.1689277,Rural Areas,0.005197924,5.225675715
2016,1,Dundee Seagate,Kerbside,340486.33,730446.2,17.21290323,10.57289,87.6705362,1001.942755,161.6788087,4.727798688,25.42843783,4.466938233,0.080141435,Rural Areas,0.005197924,6.829277012
2016,1,Dundee Whitehall Street,Roadside,340277.72,730154.91,NA,10.57289,87.6705362,1001.942755,161.6788087,4.727798688,25.42843783,4.466938233,0.080141435,Rural Areas,0.005197924,72.37791012
2016,1,E Ayrshire Kilmarnock St Marnock St,Roadside,242742,637705,11.90416667,9.542433,86.76635121,1001.679579,168.2106966,4.143029803,15.11457168,5.144582309,0.44860732,Other Urban Areas,0.002772406,8.746726285
2016,1,East Dunbartonshire Bearsden,Roadside,254271.48,672072.75,10.88709677,9.554876,89.48995802,1001.830309,180.9763034,4.834553902,26.03815062,4.352733797,0.5177276,Rural Areas,0.002942088,9.571084396
